route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
BRBD-4183,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4185,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4190,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4193,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4194,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4195,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4196,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBD-4197,BRBD,"Brisbane City - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BRBN-4083,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4084,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4086,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4087,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4164,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4165,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4171,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4172,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4176,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4177,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4179,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4180,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4181,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4183,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4185,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4190,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4193,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4194,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBN-4195,BRBN,"Brisbane City - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BRBR-4083,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4087,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4164,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4165,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4171,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4172,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4176,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4177,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4179,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4180,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4181,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4183,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4185,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
BRBR-4190,BRBR,"Brisbane City - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,A0A0A0,FFFFFF
